"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.235180027245769,0.488710239487834,-2.96168131499156,0.00305964286706224,0.0838353528415118,0.58202733276608
"level_cHigh",0.398713792744837,0.395394146409745,-2.32555650924272,0.0200422219830593,0.183361179560986,0.871048895311753
"stage_cStage II",3.10977196203735,0.465756952116985,2.4359258498284,0.0148537290472532,1.30574324622998,8.30388565712429
"stage_cStage III",18.8389017989375,0.5855843247196,5.0136655859567,5.34027684913656e-07,6.29938329681899,63.731046521433
